"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2006","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2008","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita","259",""
"2009","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita","354",""
"2010","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita","351",""
"2011","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita","357",""
"2012","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita","381",""
"2013","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita","384",""
"2014","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita","370",""
"2015","Former Yugoslav Republic of Macedonia, the","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2005","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","567",""
"2006","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","540",""
"2007","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","626",""
"2008","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","650",""
"2009","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","624",""
"2010","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","545",""
"2011","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","498",""
"2012","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","495",""
"2013","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","493",""
"2014","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","511",""
"2015","Malta","Landfill / disposal (D1-D7, D12)","Kilograms per capita","558",""
"2005","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","10",""
"2006","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","14",""
"2007","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","12",""
"2008","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","9",""
"2009","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","9",""
"2010","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","9",""
"2011","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","9",""
"2012","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","8",""
"2013","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","8",""
"2014","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","8",""
"2015","Netherlands","Landfill / disposal (D1-D7, D12)","Kilograms per capita","7",""
"2005","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","77",""
"2006","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","84",""
"2007","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","92",""
"2008","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","87",""
"2009","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","67",""
"2010","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","28",""
"2011","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","11",""
"2012","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","9",""
"2013","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","10",""
"2014","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","12",""
"2015","Norway","Landfill / disposal (D1-D7, D12)","Kilograms per capita","14",""
"2005","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","226",""
"2006","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","236",""
"2007","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","239",""
"2008","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","229",""
"2009","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","207",""
"2010","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","195",""
"2011","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","201",""
"2012","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","188",""
"2013","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","157","e"
"2014","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","143","e"
"2015","Poland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","127","e"
"2005","Portugal","Landfill / disposal (D1-D7, D12)","Kilograms per capita","283",""
"2006","Portugal","Landfill / disposal (D1-D7, D12)","Kilograms per capita","299",""
"2007","Portugal","Landfill / disposal (D1-D7, D12)","Kilograms per capita","301",""
"2008","Portugal","Landfill / disposal (D1-D7, D12)","Kilograms per capita","334",""
"2009","Portugal","Landfill / disposal (D1-D7, D12)","Kilograms per capita","316",""
"2010","Portugal","Landfill / disposal (D1-D7, D12)","Kilograms per capita","320",""
