"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
"2014","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Material recycling","Kilograms per capita",":",""
